,exact_matches,partial_matches,cosine_sim_truth,missing_from_truth,len_summ,len_truth,total_inserted,cosine_sim_loc_extract,loc_in_extracted_sentence,pxtraced_location_not_in_text_hall,pxtraced_location_in_text_hall,extracted_sentence_not_in_text_hall,extracted_sentence_in_text_hall,try_count,misperid
225,0,0,1,5,5,6,4,0.4177079,1,5,23,2,26,1,7288
226,0,0,0,1,3,1,3,0.29044133,3,0,18,4,14,1,7324
227,1,0,0,3,2,4,2,0.26582193,2,0,20,2,18,1,7372
228,6,0,0,1,12,6,10,0.2724452,2,1,22,17,6,1,7469
229,1,1,0,2,3,4,3,0.4741816,2,2,5,0,7,1,7479
230,6,0,0,1,7,3,7,0.5174238,7,0,19,2,17,1,7511
231,2,0,0,1,5,3,5,0.39416718,3,2,8,6,4,1,7594
232,1,0,1,4,6,6,5,0.29926947,1,1,10,1,10,1,7668
233,0,0,0,4,3,4,3,0.17005321,3,0,18,1,17,1,7686
234,4,0,0,0,7,2,6,0.2171333,0,0,7,0,7,3,7717
235,4,0,0,0,6,4,3,0.42175874,2,1,5,2,4,1,7851
236,5,0,0,0,11,5,11,0.4644614,11,9,36,2,43,1,7863
237,4,0,0,2,12,6,12,0.40841123,9,1,33,0,34,1,7898
238,0,0,0,2,3,2,3,0.4192993,1,5,0,1,4,1,7927
239,1,0,0,0,3,1,3,0.23227102,0,4,22,3,23,1,8087
240,0,0,0,3,4,3,4,0.40157726,4,0,41,2,39,1,8096
241,0,0,0,2,6,2,6,0.40641886,2,1,39,0,40,1,8111
242,0,0,0,2,8,2,8,0.17788917,0,0,26,9,17,1,8135
243,4,0,0,1,5,5,5,0.28909206,1,1,15,2,14,1,8137
244,0,0,0,0,3,0,3,0.21579754,1,0,7,1,6,1,8154
245,5,0,0,1,11,4,10,0.25409088,3,3,15,1,17,1,8256
246,2,0,0,1,6,3,6,0.3980137,4,1,17,4,14,1,8276
247,2,0,0,1,8,3,8,0.41342893,6,5,74,7,72,1,8282
248,1,0,0,4,5,5,5,0.51161504,5,0,15,0,15,1,8431
249,1,0,0,0,3,1,3,0.4152564,1,1,19,1,19,1,8435
250,3,0,0,1,6,4,5,0.45765176,0,2,16,18,0,4,8455
251,0,0,0,1,6,1,6,0.2704762,0,4,20,24,0,1,8479
252,1,0,1,4,10,6,9,0.40275502,6,12,89,1,100,1,8488
253,8,0,0,0,10,4,8,0.4018262,8,2,21,0,23,1,8526
254,2,0,0,1,7,3,5,0.44804573,2,2,28,5,25,1,8542
255,0,0,0,4,5,4,5,0.3347424,5,0,7,0,7,1,8575
256,1,1,0,4,9,6,9,0.32897246,4,8,30,3,35,1,8579
257,0,0,0,1,3,1,3,0.3699903,3,0,17,3,14,1,8597
258,0,0,0,6,3,6,3,0.2831135,3,7,31,1,37,1,8675
259,0,0,0,1,2,1,2,0.4038546,1,0,3,1,2,1,8700
260,5,1,0,3,6,9,5,0.46484777,4,1,46,3,44,1,8713
261,0,0,0,5,6,5,6,0.29724154,4,12,29,7,34,1,8723
262,3,0,0,1,9,4,6,0.2452969,4,3,8,6,5,1,8811
263,2,1,1,1,7,5,6,0.43659773,6,0,48,0,48,1,8836
264,3,1,0,3,6,7,5,0.538652,1,0,8,0,8,1,8870
265,3,0,0,0,15,2,14,0.30009148,5,3,29,1,31,1,8919
266,2,0,0,0,2,2,2,0.45839357,0,3,0,2,1,1,8940
267,1,0,0,3,5,4,4,0.31200626,4,2,70,14,58,1,8957
268,0,0,1,3,4,4,3,0.47890314,2,0,14,1,13,1,8990
269,3,0,0,2,5,5,5,0.30559394,5,1,14,0,15,2,9003
270,0,0,0,0,6,0,6,0.42349678,2,2,30,1,31,1,9023
271,1,0,0,4,4,5,4,0.19139448,4,0,26,0,26,1,9039
272,2,0,0,0,6,2,6,0.55118126,5,7,9,0,16,1,9062
273,1,0,0,0,5,1,5,0.43998337,3,1,44,3,42,1,9095
274,0,0,0,6,2,6,2,0.4686614,0,3,0,2,1,1,9126
275,2,0,0,1,4,3,4,0.3289093,4,2,20,0,22,1,9156
276,6,0,0,1,7,4,7,0.57805437,6,0,20,0,20,1,9212
277,1,0,0,4,4,5,4,0.39043948,4,0,45,1,44,1,9219
